district|BR.111,Block Araria Sadar,BR.6300
district|BR.111,Block Bhargama,BR.6308
district|BR.111,Block Forbisganj,BR.6303
district|BR.111,Block Jokihat,BR.6305
district|BR.111,Block Kursa Kanta,BR.6311
district|BR.111,Block Narpatganj,BR.6307
district|BR.111,Block Palasi,BR.6310
district|BR.111,Block Raniganj,BR.6304
district|BR.111,Block Sikty,BR.6309
district|BR.5758,Block Arwal,BR.5927
district|BR.5758,Block Kaler,BR.5864
district|BR.5758,Block Karpi,BR.5862
district|BR.5758,Block Kurtha,BR.5861
district|BR.5758,Block Sonvadra Vansi,BR.5867
district|BR.112,Block Barun,BR.5912
district|BR.112,Block Daudnagar,BR.5895
district|BR.112,Block Deo,BR.5954
district|BR.112,Block Goh,BR.5904
district|BR.112,Block Haspura,BR.5900
district|BR.112,Block Kutumba,BR.5950
district|BR.112,Block Madanpur,BR.5951
district|BR.112,Block Nabinagar,BR.5949
district|BR.112,Block Obra,BR.5891
district|BR.112,Block Rafiganj,BR.5907
district|BR.112,Block Aurangabad Sadar,BR.5814
district|BR.113,Block Amarpur,BR.5842
district|BR.113,Block Banka Sadar,BR.6412
district|BR.113,Block Barahat,BR.5872
district|BR.113,Block Belhar,BR.5878
district|BR.113,Block Bounsi,BR.5848
district|BR.113,Block Chandan,BR.5881
district|BR.113,Block Dhoraiya,BR.5883
district|BR.113,Block Fullidumra,BR.6413
district|BR.113,Block Katoriya,BR.5853
district|BR.113,Block Rajoun,BR.5886
district|BR.113,Block Shambhuganj,BR.5898
district|BR.114,Block Bachwara,BR.6335
district|BR.114,Block Bakhri,BR.6332
district|BR.114,Block Baliya,BR.6409
district|BR.114,Block Barauni,BR.6334
district|BR.114,Block Birpur,BR.6344
district|BR.114,Block Chaurahi,BR.6339
district|BR.114,Block Cheriya Bariyarpur,BR.6327
district|BR.114,Block Dandari,BR.6341
district|BR.114,Block Gandhpura,BR.6343
district|BR.114,Block Khudawandpur,BR.6324
district|BR.114,Block Mansurchak,BR.6345
district|BR.114,Block Matihani,BR.6325
district|BR.114,Block Nawkothi,BR.6342
district|BR.114,Block Sahebpur Kamal,BR.6326
district|BR.114,Block Samho,BR.6340
district|BR.114,Block Teghra,BR.6333
district|BR.114,Block Bhagwanpur,BR.6336
district|BR.114,Block Manjhaul,BR.6331
district|BR.114,Block Begusarai Sadar,BR.6337
district|BR.115,Block Bihpur,BR.5811
district|BR.115,Block Gauradih,BR.6415
district|BR.115,Block Gopalpur,BR.5818
district|BR.115,Block Ismailpur,BR.6416
district|BR.115,Block Jagdishpur,BR.5821
district|BR.115,Block Kahalgaon,BR.5816
district|BR.115,Block Kharika,BR.6417
district|BR.115,Block Narainpur,BR.6418
district|BR.115,Block Nathnagar,BR.5822
district|BR.115,Block Naugachhia,BR.5825
district|BR.115,Block Pirpainti,BR.5855
district|BR.115,Block Rangra Chowk,BR.6419
district|BR.115,Block Rangra Chowk,BR.5831
district|BR.115,Block Sanhoulla,BR.5844
district|BR.115,Block Shahkund,BR.5837
district|BR.115,Block Sultanganj,BR.5860
district|BR.116,Block Agion,BR.6420
district|BR.116,Block Ara Sadar,BR.5877
district|BR.116,Block Barahara,BR.5879
district|BR.116,Block Bihiya,BR.5884
district|BR.116,Block Charpokhari,BR.5889
district|BR.116,Block Godhani,BR.6421
